"Natural" Interfaces	Body Schnittstellen (unmittelbare Schnittstellen)
Robot_1	Roboterkoerperteile (n)
Robot_1	Roboterlady (2004)
Robot_1	Roboteroekosystem (1996)
Robot_1	Roboterprothetik (1996)
Robot_1	Robotertechnik (1996)
Robot_1	Roboterunterstuetzte Kuppelprojektion (n)
Robot_1	Robotik (1990,93,94,95,96,97,98,99,2000,01,02)
Robot_1	robotische Installation (2001)
Robot_1	robotische Kriegsfuehrung (1998)
Robot_1	robotische skulpturale Systeme (2000)
Robot_1	robots+avatars (1999)
Robot_1	Robot-Soldier (1998)
Robot_1	Teleroboter (1997)
Robot_1	Telerobotik (1997,98,2000)
Robotergesten (2001)	Gestik-System (n)
Robotic	03 machine view - robots
Robotic	Automation
Robotic	Telegarden
robotic art	interaktive robotische Installation (2001)
robotic art	Lichtroboter (1980)
robotic art	Maschinenkunst
robotic art	roboter performance   (Performance Richtung)
robotic art	Robotergesten (2001)
robotic art	Roboterinstallationen (1996)
robotic art	Roboterunterstuetzte Kuppelprojektion (n)
robotic art	Robotics
robotic art	robotische Installation (2001)
robotic art	robotische skulpturale Systeme (2000)
robotic extensions	body extensions
robotic extensions	Robotic
Robotics	03 machine view - robots
Robotics	RoboCup (2000)
Robotics	Roboter-Interaktion (1986,1989)
Robotics	Robotic
Robot-Soldier (1998)	botfighters (2002)
Rokeby	nervous system (1988,91)
Room of Plants	17 view of plants
Room of Plants	plants as interface (touching the leaves)
Rucksackkunst	piggyback art
rules of communication	Medienagenturen (n)
rules of communication	Protokoll
rules of communication	spamming
Rundum-Video	Panorama
satellite art	Telepraesenz
Satellitenkunst	satellite art
Scanner	brainwave scanner
Scanner	Eye Scanner
Scanner	scanning
Scanner	walk-in monitors/scanner - image trace (Blank, Jeron/1999)
Schachprogramme (1980)	Computerschach (1980)
Schatten	Computerschatten (1997)
Schatten	light simulation
Schatten	simuliertes Photogramm
Schicht	layer
Schittstelle	Aesthetik der Schnittstelle (n)
Schittstelle	Gehirn/Computer-Schnittstelle (n)
Schittstelle	Hintergrundschnittstellen (1997)
Schittstelle	Schnittstellendesign (1994)
Schittstelle	Schnittstellenproblem (1992)
Schnittstelle	19 presentation view
Schoener	Video Magic  (E. Schoener)  (1979/K50)
Schoenheit	algorithmische Schoenheit
Schoenheit	Schoenbildschauer
Schwerkraft	Materialitaet
science art	14 researcher view
science art	technoscience art / techno-scientific art
science art	Transgenic Art
science fiction	anticipation
science fiction	Future
Science-Art	science art
scientific concepts	Art & Science
scientific imaging	scientific visualization
Scionic	Industrial Design
Scionic	Vorbilder der Natur
screen saver	18 view of the picture
screen saver	motion picture
scripting	programming
scripting	Skriptsprachen
sculpture	sculpture art
Sculpture art	18 object view
sculpture art	19 material view
Sculpture art	Computerplastiken (1980)
Sculpture art	elektronische Skulpturen (1989)   elektronische Brunnen (1989)
Sculpture art	installation art
Sculpture art	Interaktive Klangskulpturen (1989)
Sculpture art	kybernetische Skulptur (1983)
Sculpture art	Magnetfluid-Skulptur (2003)
Sculpture art	Medienbildhauer (n)
Sculpture art	multimediale Plastikerin (1997)
Sculpture art	Multi-User-Skulptur: Ueberwachung, Voyeurismus (Lynn Hershman)
Sculpture art	Multi-User-Skulpture (1999)
Sculpture art	Object
Sculpture art	robotische skulpturale Systeme (2000)
Sculpture art	skulpturale Syteme (2000)
Sculpture art	telematische Skulptur
Sculpture art	VRML Multi-User-Skulptur (1999)
Search engine	16 view of knowledge management
Search engine	dyn. Search engines - spatial organization of knowledge (Huber, Steffan/2000)
Search engine	intelligent search-tools
Search engine	Metasearch
Search engine	search engines that rank "paid" contents high in the search result
Search engine	Suchmaschinen (< 2000)  search engine (2000)
security	virus - security
Selbstorganisation	Autopoiesis
Selbstorganisation	Autopoiesis (n)
Selbstorganisation	Selbststeuerung
Selbstorganisation	Self-organizing
Selbstportrait	Self-Portrait
Self-organizing	25 systemic view
Self-organizing	Selbstorganisation (1993)
Self-organizing 2	Dynamic System 2
Self-organizing_2	Selbstorganisation (1993)
Self-organizing_2	self-organization of data (knowbotic research/1993,1995)
Self-organizing_2	self-organization, autopoiesis
SemaNet	semantische Netze
semantic web	Internet2
semantic web	Representation of knowledge
semantic web	semantische Netze
semantic web	XPS Expertensystem
semantische Netze	ISO 13250
semantische Netze	kontextorientierte Navigation
semantische Netze	semantische Informationsvernetzung
SemaSpace	dataspace
SemaSpace	SemaNet
SemaSpace	semantische Netze
semiology	Semiotics
Semiotics	24 code view
Semiotics	applied zoosemiotics (Louis Bec)
Semiotics	code art
Semiotics	I reject the notion of the word as a model. Tis is the reason for my departure from semantics, semiotics and semiology
Semiotics	NeoSemiotics
Semiotics	semiotic aesthetics (Max Bense)
Semiotics	semiotic triple (sign, medium, power) (Peter Weibel)
Semiotics	semiotization (Peter Weibel)
Semiotics	to call the computer a "semiotic machine"
SemWeb	semantic web
Senses	14 view of sensor technology
Senses	30 view of handicaps
Senses	artificial senses
Senses	kuenstliche Sinne (1994)
Senses	there is no medium of sense or meaning
Senses	Welche Funktionen und Bedeutungen haben Koerper und Sinne im realen Raum gegenueber dem virtuellen Raum? (mixed reality)
Sensitivitaet	18 tactile haptic view
Sensitivitaet	gewichtssensitiv (n)
Sensitivitaet	Sensitiveness
Sensitivitaet	sensitives Feld (n)
Sensitivitaet	User Sensitive Information Architecture (2001)
sensorgesteuert	Sensortechnik
sensorgesteuert	Steuerung
Sensortechnik	14 view of sensor technology
Sensortechnik	Robotic
Sensortechnik	Sensitivitaet
Sensortechnik	sensor technology
Sensortechnik	sensoric
Sequenzer	Audiosequenzer
Server	Apache
Server	distributed processing
server cluster	Server
server cluster	Supercomputing
server cluster	system architecture
service art	03 service view / project view
service art	29 societal view
Service-Kunst	service art
SGI Onyx2	SGI and Nintendo develop Graphic-Engine
SGI Onyx2	SGI Visual Workstation O2 and Superc. Onyx
SGI Onyx2	SGI Workstation 230
Shock	13 intensity view
Shock	art as shock
Shock	art as shock 
Shock	utrashock.com (Wissens-DB fuer Multimedia-Enwickler)
Sicht des Erscheinens	Bildraum
Sight	12 visual view
Sight	Senses
Silicon Graphics	MAC
Silicon Graphics	NEXT
Silicon Graphics	silicon (1993,97)
SIM Karte	GSM GPRS UMTS WLAN
simulated space	simulated spaces (VR)
simulated spaces	3D-Simulation (2000)
simulated spaces	artificial space
simulated spaces	Raumsimulationssysteme (1984)
Simulation	27 simulation view
Simulation	Architektursimulation
Simulation	Immaterialitaet
Simulation	Landschaftssimulation
Simulation	militaerische Simulation (1998)
Simulation	modeling
Simulation	Personalsimulation (1990)
Simulation	SimNet (1998)
Simulation	simulated spaces
Simulation	Simulationsarbeiten (...)
Simulation	Simulationsdiskurs (1990)
Simulation	Simulationsmodell
Simulation	Simulationsraum (1993,95)
Simulation	Simulationssoftware (n)
Simulation	Simulator (1998)
Simulation	Stadtsimulation
Simulation	telematische Simulation (1989)
Simulationsmodell	modeling
Simulative Kraft	Simulation
Simulative Kraft	Simulative Kraft
Simulator	Simulator sickness
Simulierte Natur	artificial nature
Simulierte Natur	Simulierte Natur
Simultaneitaet	26 temporal view
Simultaneitaet	Echtzeit
Simultaneitaet	track
simultaneity	simultan (n)
simultaneity	simultane Schichten (n)
simultaneity	Simultaneitaet
simultaneity	Simultaneous Perspektive (1998)
situ...	in situ
situ...	Lage
situ...	positional
situ...	situation art
situ...	situational
situ...	Situativitaet
situation art	Context Art
situational	contextual
Situativitaet	25 spatial view
Situativitaet	Verortung
Skalierbarbeit	Parametrierung
sketchpad (1963)	constraint programming
sketchpad (1963)	man-machine graphical communication
Skin Sensor	GSR-Sensor (galvanic skin response) (n)
Skin Sensor	Tastsensor (1995)
Skriptsprachen	HyperCard
Skriptsprachen	HyperTalk
Skriptsprachen	ToolBook
Skulptur   (Plastik)	sculpture
sky art	01 atmospheres view
sky art	kuenstliche Wolken (1980)
sky art	Sky Art Conference 1982
smart toys	electronic toys
smart toys	toys
smartcard access	CTRL Space
smartcard access	smart (1994)
smartcard access	smart card (1995,2001)
Smell	19 olfactory "view" (smell)
Smell	persperation and smell of the user (2003)
Smell	Senses
SMS	communications protocols
SMS	mailing
SMS	Mobile phone
soap performance	32 culture of laughter view
social bookmarking	Bookmarking
social bookmarking	social software
social computing	social issues
social computing	social software
social issues	Censorship
social issues	discrimination
social networks	community networks
social science concepts	29 societal view
social shaping of technology	social issues
social software	computer mediated social support  (n)
social space	social networks
Sociale Metaphor	29 societal view
Sociale Metaphor	socio-cultural animation projects
Sociale Metaphor	socio-cultural applications of the internet
Sociale Metaphor	socio-fiction
Sociology	29 socio-logical view
sociology of art	Sociology
Softimage	21 view of animation
Software	05 functional view
Software	05 tool view / instruments
Software	24 view of informatics
Software	activist software (2003)
Software	Architektursoftware (n)
Software	Computer
Software	Computersoftware (1984,87,89,93,94,95,2001,03)
Software	CSS
Software	Director
Software	Fusion
Software	jamming software (1999)
Software	Morphing Software (1998)
Software	opera software (2003)
Software	Softimage
Software	Software als Werkzeug (n)
Software	software resistance (2003)
Software	software scene (n)
Software	Softwarecode (2003)
Software	Softwareklassen - Anwendungstypen
Software	Softwarekonzept (2001)
Software	Software-Monopole (2003)
Software	soziale Software (2004)
Software	Ware...
Software als wandelbare Maschine	Software
software art	digital art
software art	software art (2003)
software art	Softwarekunst (2003)
software engineering	24 view of informatics
software evolution	evolutionary algorithms
Software Interface	immaterial interfaces (2003)
Software Interface	Interfacetheorie (n)
Software Interface	Standardisiertes Interface (n)
Software manipulations	02 chaos view
Software manipulations	02 conceptual view
Software manipulations	02 view of openness
Software manipulations	existing software manipulations (2003)
Software manipulations	system dysfunctionality - denial of service (2003)
software resistance	Medienguerilla
software resistance	resistance
softwaregeneriert	computergeneriert (1980,94,96,97,99)
softwaregeneriert	Generativitaet
Softwareklassen - Anwendungstypen	Anwendung
solar art	sky art
solar art	Solar-Musik
Solarroboter	Robotics
Sommerer	Medienprofessuren (2003)
sonology	Computersonologie (1984)
Sound	25 acoustic "view"
Sound	elektronische Klangfarben (1980)
Sound	elektronischer Klangteppich (1980)
Sound	Flexible Sound-Engine (M. Popp)
Sound	Fluid Sound (Karpfen Becken) (Liz Philips)
Sound	juke bots - Interaktive Roboter-Sound-Installation
Sound	Klangenvironment (1979)
Sound	Klanggenerator  (1984)
Sound	Maschinengeraeusche (1980)
Sound	networked sound
Sound	On-line/On-site/On-air-Soundinstallation
Sound	sonology
Sound	Sound / Klang
Sound	sound equipment
Sound	Sound Experimente  (2001/K94) (H. Deisl)
Sound	sound mapping (1998)
Sound	sound performance    (Richtung)
Sound	sound sculpture
Sound	Sound space motion system (F. Paschke)
Sound	sound synthesis
Sound	sound von einer Hand (Jaron Lanier)
Sound	Soundcreatures / Klangkommunikation - Roboter (Kouichirou Eto)
Sound	Soundinstallation
Sound	Soundsysteme (1991,96)
Sound	soundtrack ( < 2000)
Sound	Soundwalking - Stadt als akustische Umwelt (Hildegard Westerkamp)
Sound	Voice
Sound / Klang	Sound-Image-Interaction
sound performance	25 acoustic "view"
Sound performance	elektronische Konzertperformance (n)
Sound performance	elektronische Musikperformance (n)
Sound performance	live electronic performance practice (1992)
sound performance	Performance
sound performance	Sound
sound sampling	sampling
sound sampling	Sound
Sound-Image-Interaction	32 playful view
Sound-Image-Interaction	32 view of interactivity
Sound-Image-Interaction	game-sounds
Sound-Image-Interaction	Image manipulation soundtrack (jomasounds) (1999,2000)
Sound-Image-Interaction	sound mapping (1998) (Iain Mott, Marc Raszewski, Jim Sosnin)
Sound-Image-Interaction	Strukturen von Soundsystemen (Involving Systems, MESO)
Soundinstallation	18 view of the installation
Soundinstallation	25 acoustic "view"
Soundinstallation	Audio Art
Soundinstallation	interaktive Klanginstallationen (1991)
Soundinstallation	On-line/On-site/On-air-Soundinstallation
